Using cuDNN version 5110 on context None
Preallocating 2437/12189 Mb (0.200000) on cuda0
Mapped name None to device cuda0: TITAN X (Pascal) (0000:02:00.0)
current save dir  /home/guoyuyu/results/youtube/MP_Double_LSTM_OptRes_2/save_dir/
/home/guoyuyu/results/youtube/MP_Double_LSTM_OptRes_2/save_dir/ already exists!
erasing everything in  /home/guoyuyu/results/youtube/MP_Double_LSTM_OptRes_2/save_dir/
saving model config into /home/guoyuyu/results/youtube/MP_Double_LSTM_OptRes_2/save_dir/model_config.pkl
Model Type: attention
Dataset: youtube2text
Command: train_model.py
training an attention model
/home/guoyuyu/code/code_by_myself/video_caption/MP_LSTM/model_deepRNN.py:15: UserWarning: Feeding context to output directly seems to hurt.
  warnings.warn('Feeding context to output directly seems to hurt.')
Loading data
loading youtube2text opt_res features
uneven minibath chunking, overall 64, last one 12
uneven minibath chunking, overall 200, last one 91
uneven minibath chunking, overall 200, last one 168
init params
<bound method OrderedDict.keys of OrderedDict([('Wemb', Wemb), ('tu_lstm_W', tu_lstm_W), ('tu_lstm_U', tu_lstm_U), ('tu_lstm_b', tu_lstm_b), ('mu_lstm_W', mu_lstm_W), ('mu_lstm_V', mu_lstm_V), ('mu_lstm_U', mu_lstm_U), ('mu_lstm_b', mu_lstm_b), ('ff_logit_lstm_W', ff_logit_lstm_W), ('ff_logit_lstm_b', ff_logit_lstm_b)])>
buliding sampler
Building f_init... Done
building f_next...
Done
building f_log_probs
compute grad
build train fns
compilation took 16.6574 sec
Optimization
Epoch  0
Epoch  0 Update  10 Train cost mean so far 49.5721855164 fetching data time spent (sec) 0.107 update time spent (sec) 0.417
Epoch  0 Update  20 Train cost mean so far 45.418712616 fetching data time spent (sec) 0.1 update time spent (sec) 0.365
Epoch  0 Update  30 Train cost mean so far 43.2332077026 fetching data time spent (sec) 0.094 update time spent (sec) 0.361
Epoch  0 Update  40 Train cost mean so far 43.0861206055 fetching data time spent (sec) 0.098 update time spent (sec) 0.407
Epoch  0 Update  50 Train cost mean so far 45.2725639343 fetching data time spent (sec) 0.104 update time spent (sec) 0.443
Epoch  0 Update  60 Train cost mean so far 38.9741249084 fetching data time spent (sec) 0.09 update time spent (sec) 0.402
Epoch  0 Update  70 Train cost mean so far 47.988193512 fetching data time spent (sec) 0.101 update time spent (sec) 0.388
Epoch  0 Update  80 Train cost mean so far 43.713092804 fetching data time spent (sec) 0.107 update time spent (sec) 0.42
Epoch  0 Update  90 Train cost mean so far 40.915802002 fetching data time spent (sec) 0.101 update time spent (sec) 0.342
Epoch  0 Update  100 Train cost mean so far 47.2583618164 fetching data time spent (sec) 0.106 update time spent (sec) 0.414
------------- sampling from train ----------
Truth  0 :  a man is turning over tables in anger
Sample ( 0 )  :  a
Truth  1 :  the plane took off the runway
Sample ( 1 )  :  a
Truth  2 :  a kitten is meowing
Sample ( 2 )  :  a
Truth  3 :  the badger came out of his hole and walked on the grass
Sample ( 3 )  :  a
Truth  4 :  the lady stired the rice in the water
Sample ( 4 )  :  a
Truth  5 :  a boller is balling
Sample ( 5 )  :  a
Truth  6 :  a boy is pointing to different numbers on a wall calendar
Sample ( 6 )  :  a
Truth  7 :  a lady is talking and washing her hands
Sample ( 7 )  :  a
Truth  8 :  a man is scooping food out of a pot on the stove into a bowl
Sample ( 8 )  :  a
Truth  9 :  the boy ran and fell
Sample ( 9 )  :  a
------------- sampling from valid ----------
Truth  0 :  a woman making some sort of toy with a piece of paper
Sample ( 0 )  :  a
Truth  1 :  a cat performing or playing some sort of game with her master
Sample ( 1 )  :  a
Truth  2 :  a woman is petting baby beavers
Sample ( 2 )  :  a
Truth  3 :  amazing catch by jamie dalrymple
Sample ( 3 )  :  a
Truth  4 :  the jewish man talked into the camera
Sample ( 4 )  :  a
Truth  5 :  a fox is walking in the snow
Sample ( 5 )  :  a
Truth  6 :  a amazing catch
Sample ( 6 )  :  a
Truth  7 :  a man trims fat off of a haunch of meat
Sample ( 7 )  :  a
Truth  8 :  a man is folding the paper
Sample ( 8 )  :  a
Truth  9 :  the little boy received a couple of shots on the arm
Sample ( 9 )  :  a
Epoch  0 Update  110 Train cost mean so far 42.1451339722 fetching data time spent (sec) 0.1 update time spent (sec) 0.353
Epoch  0 Update  120 Train cost mean so far 47.1408004761 fetching data time spent (sec) 0.097 update time spent (sec) 0.412
Epoch  0 Update  130 Train cost mean so far 44.492313385 fetching data time spent (sec) 0.103 update time spent (sec) 0.379
Epoch  0 Update  140 Train cost mean so far 46.5225372314 fetching data time spent (sec) 0.098 update time spent (sec) 0.435
Epoch  0 Update  150 Train cost mean so far 38.22265625 fetching data time spent (sec) 0.535 update time spent (sec) 0.369
Epoch  0 Update  160 Train cost mean so far 38.8525848389 fetching data time spent (sec) 0.102 update time spent (sec) 0.38
Epoch  0 Update  170 Train cost mean so far 40.9518089294 fetching data time spent (sec) 0.105 update time spent (sec) 0.343
Epoch  0 Update  180 Train cost mean so far 42.8225402832 fetching data time spent (sec) 0.093 update time spent (sec) 0.46
Epoch  0 Update  190 Train cost mean so far 41.2328186035 fetching data time spent (sec) 0.11 update time spent (sec) 0.404
Epoch  0 Update  200 Train cost mean so far 38.0552330017 fetching data time spent (sec) 0.103 update time spent (sec) 0.375
------------- sampling from train ----------
Truth  0 :  a man is dancing on the ceiling
Sample ( 0 )  :  a
Truth  1 :  food is poured and mixed on a hot plate
Sample ( 1 )  :  a
Truth  2 :  a young man is dancing
Sample ( 2 )  :  a
Truth  3 :  a woman makes a phone call
Sample ( 3 )  :  a
Truth  4 :  a man is singing into a microphone
Sample ( 4 )  :  a
Truth  5 :  a man and a woman race each other swimming across a pool
Sample ( 5 )  :  a
Truth  6 :  a woman is slicing garlic
Sample ( 6 )  :  a
Truth  7 :  a person is mixing a pot of rice
Sample ( 7 )  :  a
Truth  8 :  a boy is running
Sample ( 8 )  :  a
Truth  9 :  a play takes off
Sample ( 9 )  :  a
------------- sampling from valid ----------
Truth  0 :  a hamster is playing with the vacuum cleaner
Sample ( 0 )  :  a
Truth  1 :  rat is looking nice
Sample ( 1 )  :  a
Truth  2 :  a reverent is speaking
Sample ( 2 )  :  a
Truth  3 :  a woman is playing a flute
Sample ( 3 )  :  a
Truth  4 :  the man is playing the guitar
Sample ( 4 )  :  a
Truth  5 :  a chef is peeling the stalk of a broccoli
